reaction_temp_c,catalyst_concentration,reaction_time_hours,ph_level,compound_yield_mg
27.4,1.5,14.7,4.8,336.27
74.6,2.0,12.8,4.0,579.12
78.0,0.9,26.2,8.5,452.82
74.4,1.1,40.2,8.8,520.66
39.8,0.7,31.4,8.8,398.79
32.7,1.0,19.0,6.2,292.91
46.7,0.9,28.2,5.8,441.16
77.5,1.3,32.0,4.9,594.33
60.7,0.7,41.6,7.1,435.16
53.7,1.2,34.2,5.5,469.7
30.9,0.7,16.0,4.7,250.33
69.7,0.8,18.0,7.4,352.6
54.6,1.2,21.1,4.1,440.69
54.1,1.6,21.2,7.5,431.92
74.2,1.9,27.3,7.8,570.52
34.3,0.5,27.9,5.0,286.8
49.3,0.9,13.2,5.2,357.51
33.2,0.7,46.4,7.9,425.63
27.1,1.6,44.4,8.3,454.53
77.0,0.8,46.0,5.7,537.82
