reaction_temp_c,catalyst_concentration,reaction_time_hours,ph_level,compound_yield_mg
61.2,1.0,18.4,4.9,424.41
31.0,0.9,20.0,7.7,237.78
46.1,0.3,1.9,4.0,168.03
50.3,0.7,8.1,6.2,349.61
46.9,0.2,12.9,5.3,283.08
57.1,0.7,15.4,6.5,380.63
44.0,0.9,22.3,6.9,335.87
33.9,0.4,18.4,5.2,252.85
73.5,0.3,6.0,7.1,292.69
26.8,0.4,18.4,6.1,235.39
79.1,0.1,18.5,6.7,288.31
78.0,0.6,15.7,5.3,405.4
71.6,0.9,19.0,6.4,454.05
28.7,0.1,13.1,5.3,186.01
72.4,0.1,11.6,5.5,291.83
79.9,0.3,18.6,4.2,370.28
37.6,0.3,20.9,6.0,237.85
40.3,0.7,14.4,8.2,194.82
60.5,0.3,4.9,8.2,188.67
68.4,1.0,9.3,6.2,290.7
49.2,0.7,21.3,6.1,323.29
70.6,0.6,22.7,4.6,439.77
61.7,0.2,17.1,4.9,295.4
76.2,0.4,13.5,4.9,379.82
64.7,0.3,11.7,7.5,254.66
